order_item_id,order_id,product_id,quantity,price
1,362,55,2,79.6
2,2427,409,5,26.23
3,2903,157,3,49.43
4,585,227,3,35.89
5,2797,54,1,99.75
6,3,282,5,98.0
7,1461,496,5,59.19
8,160,409,1,88.43
9,2701,476,2,22.25
10,841,104,4,72.39
11,2438,398,4,10.77
12,2106,101,3,48.56
13,2789,384,1,17.34
14,2080,326,5,89.37
15,2404,317,2,5.67
16,2031,144,4,90.74
17,479,383,2,74.4
18,2344,310,4,59.85
19,2435,65,4,14.99
20,1345,357,4,93.83
21,903,109,5,69.29
22,2216,452,5,69.28
23,597,263,3,74.72
24,2298,441,5,53.65
25,2100,334,1,56.88
26,1058,398,2,97.07
27,1915,203,2,9.86
28,2329,5,1,49.68
29,2034,301,3,63.47
30,2506,436,3,79.27
31,1281,237,3,87.61
32,1269,142,1,85.75
33,178,232,4,60.25
34,698,381,4,17.87
35,2623,395,3,32.06
36,952,153,4,83.88
37,2327,56,4,7.94
38,1062,128,3,60.08
39,2112,108,5,53.99
40,2567,327,5,75.37
41,1893,416,5,71.88
42,2345,495,4,39.57
43,1288,231,5,76.85
44,2753,255,3,44.58
45,2262,37,4,50.31
46,1268,422,2,99.14
47,2774,20,4,84.9
48,2841,108,1,99.63
49,2672,344,1,81.61
50,1909,239,4,13.92
51,2811,327,2,35.05
52,105,329,1,51.73
53,2190,112,4,60.47
54,609,98,2,72.97
55,2053,165,3,6.3
56,775,210,5,60.85
57,1393,67,5,36.64
58,178,373,2,26.3
59,567,477,4,34.93
60,650,235,2,34.79
61,2749,364,3,81.84
62,1167,320,4,19.81
63,2434,354,1,22.9
64,525,126,3,50.8
65,307,150,4,80.26
66,1351,454,1,60.59
67,2910,183,3,39.97
68,2847,232,1,91.76
69,610,19,1,44.05
70,1927,129,1,23.48
71,1267,136,3,58.54
72,1926,410,4,15.56
73,656,56,5,58.55
74,2715,306,1,95.87
75,605,245,1,85.06
76,1331,16,4,74.82
77,424,464,2,21.04
78,613,465,5,66.67
79,2688,364,1,39.64
80,1213,146,4,57.96
81,1445,128,1,94.0
82,1520,190,3,82.07
83,1394,298,3,9.85
84,1671,109,3,45.73
85,2047,256,4,77.98
86,2482,411,3,92.68
87,887,119,2,51.38
88,786,296,5,10.86
89,2779,422,4,8.36
90,2129,92,2,43.03
91,1545,370,2,95.06
92,1738,456,5,6.65
93,2809,95,2,10.9
94,1820,192,3,69.27
95,1641,54,4,78.46
96,153,222,4,7.26
97,2955,35,3,69.43
98,708,20,1,24.68
99,856,130,3,63.1
100,1873,224,5,50.18
101,671,468,1,41.33
102,2983,38,5,66.66
103,2810,122,2,60.88
104,2602,438,1,75.36
105,646,296,4,79.4
106,2497,76,1,5.23
107,1382,115,1,50.64
108,654,89,4,9.0
109,228,460,5,16.96
110,596,262,2,66.97
111,1821,384,3,22.27
112,222,162,3,63.94
113,1328,252,5,55.87
114,1823,405,2,89.61
115,596,32,4,23.38
116,651,355,5,83.91
117,106,492,1,98.18
118,686,216,5,57.57
119,1193,133,4,71.85
120,1498,258,5,35.78
121,1109,252,4,6.25
122,2326,214,1,66.44
123,1087,226,2,71.0
124,1053,470,3,21.8
125,1889,112,4,57.26
126,2847,129,4,52.01
127,2197,134,1,46.94
128,2855,358,5,30.9
129,1303,246,4,48.52
130,217,223,1,18.52
131,2519,264,5,62.63
132,628,280,3,19.73
133,2140,32,5,17.95
134,601,458,4,70.27
135,292,363,4,29.43
136,1793,14,1,37.45
137,2019,39,5,94.44
138,137,172,4,74.22
139,1630,278,5,6.0
140,825,39,4,40.91
141,1934,497,5,84.62
142,2605,33,2,49.29
143,2146,98,1,88.61
144,1076,69,5,70.05
145,976,192,3,12.9
146,1634,406,1,13.05
147,2474,44,5,57.85
148,1072,285,1,54.62
149,12,477,1,49.77
150,2836,264,4,51.16
151,421,188,2,8.74
152,1915,333,1,73.83
153,225,242,3,10.53
154,927,116,4,97.63
155,2372,191,4,61.72
156,1856,359,2,66.57
157,1203,212,1,68.62
158,1342,499,1,13.7
159,2338,474,1,9.87
160,1921,27,1,52.15
161,1484,15,2,6.12
162,197,77,3,68.19
163,2316,243,2,70.18
164,2568,118,5,21.68
165,336,7,2,63.91
166,1928,187,5,80.1
167,1939,138,4,69.07
168,2679,340,3,65.8
169,2455,217,3,61.53
170,1849,384,3,29.17
171,685,178,2,41.44
172,2778,349,5,77.54
173,1057,343,2,10.33
174,342,208,3,15.74
175,2945,109,4,32.71
176,2786,436,3,13.83
177,769,123,4,94.06
178,2510,393,2,87.5
179,1736,408,4,75.45
180,2813,312,4,41.04
181,472,381,4,77.88
182,20,429,5,35.42
183,2034,393,1,81.79
184,1876,155,5,67.44
185,1488,267,3,63.46
186,1602,265,5,12.49
187,1118,302,5,8.31
188,239,109,3,52.81
189,701,146,1,69.01
190,1820,131,3,36.42
191,2314,317,5,57.99
192,857,94,3,40.52
193,998,163,2,97.53
194,2422,56,1,90.63
195,371,355,1,91.55
196,2123,191,1,96.41
197,1026,211,4,90.22
198,2498,284,3,61.66
199,680,40,2,38.91
200,2363,211,1,52.51
201,859,27,4,73.71
202,814,334,3,70.85
203,2179,5,1,89.05
204,606,337,4,30.15
205,1418,316,4,67.96
206,550,5,3,85.9
207,1215,280,2,83.15
208,2118,446,4,92.53
