session_id,campaign_id,customer_id,date,landing_page
1,17,48,2023-02-08,Search
2,10,793,2023-01-15,Category
3,18,468,2023-03-03,Home
4,10,578,2023-03-07,Category
5,8,476,2023-06-20,Category
6,7,751,2023-05-16,Promo
7,1,955,2023-02-05,Search
8,18,355,2023-01-08,Home
9,13,870,2023-03-01,Category
10,17,244,2023-01-07,Search
11,5,729,2023-04-02,Category
12,8,919,2023-01-02,Promo
13,12,470,2023-04-23,Home
14,17,137,2023-05-04,Search
15,19,64,2023-01-19,Search
16,8,299,2023-06-05,Category
17,13,718,2023-03-26,Category
18,9,240,2023-03-15,Home
19,19,112,2023-02-05,Product
20,15,478,2023-01-06,Category
21,18,367,2023-04-04,Product
22,15,272,2023-04-10,Home
23,10,847,2023-01-06,Promo
24,11,152,2023-01-07,Home
25,12,406,2023-06-08,Promo
26,10,267,2023-01-22,Product
27,15,570,2023-01-13,Promo
28,15,105,2023-02-04,Product
29,2,851,2023-01-01,Product
30,13,382,2023-02-07,Home
31,9,940,2023-05-19,Home
32,7,925,2023-01-03,Search
33,11,126,2023-02-03,Home
34,6,947,2023-04-02,Promo
35,13,509,2023-04-27,Home
36,14,177,2023-04-22,Category
37,9,287,2023-02-06,Search
38,20,635,2023-02-02,Promo
39,10,511,2023-02-21,Search
40,2,90,2023-05-16,Category
41,14,205,2023-04-05,Promo
42,18,814,2023-02-21,Home
43,12,492,2023-04-26,Promo
44,19,515,2023-04-12,Category
45,6,27,2023-04-09,Category
46,1,918,2023-05-08,Category
47,16,543,2023-01-26,Category
48,6,103,2023-05-08,Product
49,9,547,2023-06-08,Home
50,13,364,2023-02-19,Product
51,19,326,2023-02-08,Category
52,12,971,2023-05-01,Promo
53,19,972,2023-05-05,Product
54,10,180,2023-04-18,Search
55,2,239,2023-01-03,Promo
56,17,490,2023-02-01,Home
57,7,826,2023-03-20,Product
58,6,941,2023-03-23,Category
59,5,601,2023-01-01,Product
60,17,882,2023-01-28,Category
61,13,601,2023-01-12,Home
62,11,140,2023-03-10,Product
63,16,665,2023-06-14,Category
64,18,711,2023-02-23,Promo
65,19,835,2023-03-08,Product
66,10,131,2023-04-10,Product
67,19,401,2023-06-01,Promo
68,20,326,2023-01-06,Promo
69,19,107,2023-02-21,Search
70,3,244,2023-02-11,Category
71,3,842,2023-03-06,Category
72,9,215,2023-04-01,Product
73,12,263,2023-06-03,Home
74,2,396,2023-06-01,Search
75,6,906,2023-06-14,Search
76,12,560,2023-04-13,Search
77,16,808,2023-01-27,Promo
78,8,167,2023-06-25,Search
79,2,302,2023-01-26,Home
80,4,76,2023-03-09,Category
81,6,750,2023-02-13,Home
82,11,609,2023-05-03,Promo
83,1,442,2023-04-23,Product
84,6,55,2023-05-14,Home
85,7,420,2023-03-07,Promo
86,18,272,2023-06-24,Category
87,4,51,2023-03-08,Search
88,16,158,2023-05-18,Home
89,14,90,2023-03-01,Category
90,20,492,2023-06-21,Product
91,7,175,2023-01-01,Category
92,4,316,2023-01-16,Search
93,9,94,2023-04-16,Promo
94,12,907,2023-04-06,Search
95,15,46,2023-03-06,Category
96,9,232,2023-04-15,Category
97,5,771,2023-05-02,Home
98,12,828,2023-01-22,Promo
99,19,233,2023-04-25,Promo
100,13,839,2023-01-27,Promo
101,16,587,2023-04-18,Product
102,3,405,2023-04-10,Home
103,17,820,2023-05-19,Promo
104,5,124,2023-06-20,Search
105,7,828,2023-02-06,Product
106,14,81,2023-02-02,Search
107,5,855,2023-02-27,Promo
108,3,90,2023-03-11,Search
109,18,334,2023-05-13,Category
110,1,806,2023-05-15,Promo
111,14,116,2023-05-17,Search
112,19,603,2023-02-05,Promo
113,19,799,2023-01-04,Home
114,18,902,2023-03-28,Category
115,13,671,2023-04-09,Search
116,16,39,2023-05-20,Product
117,5,634,2023-03-13,Promo
118,13,40,2023-06-23,Search
119,8,51,2023-03-23,Search
120,1,346,2023-03-12,Category
121,16,879,2023-03-09,Home
122,10,998,2023-02-05,Search
123,14,620,2023-03-09,Home
124,7,936,2023-02-15,Search
125,17,889,2023-06-16,Category
126,6,68,2023-01-17,Category
127,13,139,2023-06-17,Promo
128,6,198,2023-05-01,Product
129,2,468,2023-01-08,Home
130,7,281,2023-03-23,Category
131,13,651,2023-04-17,Home
132,8,382,2023-06-01,Search
133,6,984,2023-05-15,Search
134,12,353,2023-05-18,Product
135,3,292,2023-03-24,Home
136,6,875,2023-04-02,Promo
137,8,663,2023-02-28,Product
138,9,668,2023-06-07,Search
139,1,486,2023-05-01,Product
140,20,821,2023-06-06,Home
141,20,825,2023-02-09,Category
142,9,434,2023-06-23,Search
143,9,224,2023-03-15,Search
144,17,845,2023-03-22,Promo
145,4,8,2023-04-19,Promo
146,12,575,2023-06-27,Promo
147,10,701,2023-05-10,Home
148,11,284,2023-04-03,Category
149,10,193,2023-03-09,Product
150,8,922,2023-05-25,Home
151,11,698,2023-05-13,Product
152,16,303,2023-06-01,Category
153,13,755,2023-04-13,Home
154,19,836,2023-05-23,Product
155,8,703,2023-03-24,Promo
156,16,929,2023-06-26,Category
157,6,861,2023-05-10,Promo
158,4,483,2023-02-10,Product
159,18,782,2023-06-09,Product
160,3,228,2023-06-11,Category
161,10,431,2023-02-24,Category
162,19,302,2023-03-09,Search
163,2,888,2023-01-16,Promo
164,3,484,2023-05-20,Product
165,13,543,2023-05-04,Category
166,5,141,2023-04-02,Product
167,19,915,2023-03-14,Search
168,6,798,2023-02-11,Home
169,6,321,2023-04-11,Home
170,9,215,2023-01-15,Product
171,6,502,2023-05-25,Home
172,14,649,2023-02-20,Search
173,16,393,2023-04-14,Home
174,7,749,2023-01-18,Category
175,17,196,2023-01-11,Home
176,8,232,2023-06-01,Category
177,4,393,2023-03-05,Promo
178,6,67,2023-05-10,Home
179,15,746,2023-03-10,Promo
180,11,445,2023-05-17,Product
181,12,769,2023-03-16,Product
182,13,20,2023-02-26,Product
183,5,217,2023-02-24,Home
184,6,127,2023-05-17,Category
185,2,385,2023-06-21,Category
186,2,609,2023-05-20,Home
187,1,50,2023-06-04,Home
188,13,127,2023-04-15,Promo
189,5,211,2023-03-16,Home
190,4,679,2023-03-14,Promo
191,20,718,2023-03-20,Product
192,4,524,2023-04-27,Promo
193,4,804,2023-01-10,Home
194,20,205,2023-04-07,Category
195,12,721,2023-05-07,Search
196,2,562,2023-03-06,Search
197,16,339,2023-02-23,Product
198,3,929,2023-01-01,Home
199,16,153,2023-05-22,Home
200,4,927,2023-05-03,Category
201,15,304,2023-06-08,Category
202,4,833,2023-04-02,Product
203,10,369,2023-01-28,Category
204,4,98,2023-04-24,Home
205,5,680,2023-01-28,Product
